review_id,farm_name,normalized_name,decision,evidence_grade,verified_entity_type,county,city,postal_code,products,business_types,website_url,source_url,retrieved_date,decision_basis,notes
txreview_20260715_011,Peddling Pelican Bike Rentals,peddling pelican bike rentals,exclude,F,rental_business,Beaufort,Hilton Head Island,29928,Bicycle rentals,Bicycle and vacation-equipment rental,https://peddlingpelican.com,https://www.hiltonheadisland.org/see-do/family-vacation/peddling-pelican-bike-rentals-inc,2026-07-15,"The official Hilton Head Island visitor organization identifies this as a South Carolina bicycle and vacation-equipment rental business.",Excluded as both out of Texas and unrelated to farm production; the Shop Texas Farms record is a directory false positive.
txreview_20260715_012,Steelbow Farm,steelbow farm,exclude,F,farm,Columbia,Ancram,12502,Organic berries; specialty vegetables; U-pick,Farm; U-pick; wholesale,https://www.steelbowfarm.com,https://www.steelbowfarm.com/,2026-07-15,"The farm-owned site says Steelbow moved from Austin to Ancram, New York and publishes its current Ancram address.",Excluded from Texas staging because the operation has relocated to New York; it remains a valid farm for future New York collection.
txreview_20260715_013,Talise Microgreens,talise microgreens,corroborate,C,farm,Collin,Dallas,75252,Hydroponic microgreens,Urban farm; wholesale restaurant delivery,https://www.talisemicrogreens.com,https://www.toogoodtogo.com/en-us/find/dallas/talisemicrogreensllc/groceries/microgreenssurprisebag-48473672925919521,2026-07-15,"The current warehouse-pickup profile publishes 17811 Davenport Road Suite 52, Dallas, TX 75252; the farm-owned site confirms active microgreen production and a matching 214 contact.",Corrects the transposed source ZIP 85252 to 75252; county remains the directory-provided Collin classification.
txreview_20260715_014,Blessed to be a Blessing Farms LLC,blessed to be a blessing farms,exclude,F,farm,Dona Ana,Chaparral,88081,Seasonal produce; chicken eggs; duck eggs,Micro farm; CSA; local delivery,https://www.blessedtobeablessingfarms.org,https://www.blessedtobeablessingfarms.org/,2026-07-15,"The farm-owned site explicitly identifies the operation as a Chaparral, New Mexico micro-farm serving the El Paso and Las Cruces area.",Excluded from Texas staging because service into Texas does not make the farm a Texas entity; retain for future New Mexico collection.
txreview_20260715_015,BS Farms,bs farms,corroborate,C,farm,Erath,Bluff Dale,76433,Fruits; vegetables,Produce farm; farm-to-school vendor,https://bs-farms.square.site/,https://squaremeals.org/Portals/8/files/NSLP/LFS/LFS%20-%20Vendor%20List.pdf?ver=UChR8wxKtL3Mn5UY-WfSNQ%3D%3D,2026-07-15,"The current Texas Farm Fresh vendor list identifies BS Farms at 19519 FM 205 in Bluff Dale with fruits and vegetables and links the farm's Square store; current property sources confirm ZIP 76433 and Erath County.",Corrects the parser error that treated the street number 19519 as a ZIP.
txreview_20260715_016,Eastern Oklahoma State College,eastern oklahoma state college,exclude,F,educational_farm,Latimer,Wilburton,74578,College working farm; cattle; greenhouses; meat processing,Agricultural education institution,https://www.eosc.edu/agriculture,https://www.eosc.edu/news/eastern-oklahoma-state-college-hires-rene-mccracken-as-new-dean-of-agriculture,2026-07-15,"The college-owned source identifies a Wilburton, Oklahoma educational institution with a working farm, not a Texas farm entity.",Excluded from Texas staging because it is an Oklahoma institution; the Texas Center for Local Food record is a state-scope false positive.
txreview_20260715_017,Dresden Specialty Meats,dresden specialty meats,corroborate,C,farm,Navarro,Barry,75102,Beef; bison meat,Cattle and bison farm; direct-market vendor,https://www.dresdenspecialtymeats.com/,https://marketspread.com/vendor/92853/dresden-specialty-meats/,2026-07-15,"The current vendor profile states that the owner raises bison, cattle, poultry, and sheep on the Navarro County farm and sells self-raised beef and bison.",Corrects the parser error that treated the street number 10465 as a ZIP.
txreview_20260715_018,South Tex Organics,south tex organics,corroborate,C,farm,Hidalgo,Mission,78574,Organic grapefruit; oranges; lemons; onions,Certified organic citrus and vegetable farm; wholesale; online sales,https://www.stxorganics.com,https://www.stxorganics.com/our-story/,2026-07-15,"The farm-owned site identifies a 500-acre certified organic citrus and vegetable growing operation; its contact page publishes 6700 N Doffing Road, Mission, TX 78574.",Corrects a source parser error that placed the street address and state text in the city field.
txreview_20260715_019,Lavande,lavande,corroborate,C,farm,Washington,Bellville,77418,Lavender; cut flowers; farm honey,Lavender farm; U-pick; on-farm gift shop,http://www.lavandetexas.com,https://pickyourown.org/lavender-farms/TXhouston-lavender.php,2026-07-15,"The current 2026 PickYourOwn county page identifies Lavande as a Washington County farm at 9665 Loop Road, Bellville, TX 77418 producing lavender, flowers, and farm honey.",Corrects a source parser error that reduced the city field to the state name.
txreview_20260715_020,Howland Insurance & Financial Strategies representing American National Insurance,howland insurance and financial strategies representing american national insurance,exclude,F,insurance_agency,Denton,Denton,76207,Insurance and financial services,Insurance agency,,https://shoptexasfarms.com/business-directory/,2026-07-15,"The current member directory identifies this as a Denton insurance agency and describes insurance services only.",Excluded as a non-farm service business; directory membership is not farm-operation evidence.
txreview_20260715_021,yield management systems – yieldWerx,yield management systems yieldwerx,exclude,F,software_company,Collin,Plano,75024,Manufacturing analytics software,Software company,https://yieldwerx.com,https://yieldwerx.com/wp-content/uploads/2025/01/Company-Profile-yieldWerx-vf.pdf,2026-07-15,"The company-owned profile describes semiconductor and electronics manufacturing analytics software, not agricultural production.",Excluded as a non-farm software company; the word yield caused an agricultural-directory false positive.
txreview_20260715_022,Digital Jedi SEO,digital jedi seo,exclude,F,marketing_agency,Dallas,Dallas,75248,Search-engine optimization; web development,Digital marketing agency,https://www.digitaljediseo.com,https://www.digitaljediseo.com/,2026-07-15,"The company-owned site describes SEO, search marketing, and website-development services only.",Excluded as a non-farm marketing agency.
txreview_20260715_023,Omega Industries,omega industries,exclude,F,painting_contractor,Dallas,Dallas,75237,Commercial painting; construction services,Commercial painting contractor,https://omegaindinc.com,https://omegaindinc.com/,2026-07-15,"The company-owned site identifies a Dallas commercial painting and construction-services contractor.",Excluded as a non-farm contractor.
txreview_20260715_024,The Doan Law Firm Accident & Injury Attorneys,the doan law firm accident and injury attorneys,exclude,F,law_firm,Lubbock,Lubbock,79414,Legal services,Personal-injury law firm,https://www.thedoanlawfirm.com,https://www.thedoanlawfirm.com/areas/lubbock-tx/,2026-07-15,"The firm-owned site identifies the Lubbock operation as a personal-injury legal practice.",Excluded as a non-farm professional service business.
txreview_20260715_025,CodaPet-At Home Pet Euthanasia Austin,codapet at home pet euthanasia austin,exclude,F,veterinary_service,Travis,Austin,78753,In-home pet euthanasia; aftercare,Veterinary end-of-life service,https://www.codapet.com,https://www.codapet.com/cities/austin-tx,2026-07-15,"The company-owned Austin page offers veterinary in-home euthanasia and aftercare services.",Excluded as a non-farm veterinary service.
txreview_20260715_026,Wawi Tijerina Law,wawi tijerina law,exclude,F,law_firm,Webb,Laredo,78040,Legal services,Personal-injury law firm,https://www.wawitijerinalaw.com,https://www.wawitijerinalaw.com/en/,2026-07-15,"The firm-owned site identifies a Laredo personal-injury law practice and publishes its office address.",Excluded as a non-farm professional service business.
txreview_20260715_027,Down To Herbs,down to herbs,exclude,F,body_care_maker,,Bullard,75757,Handmade skin and body care,Body-care maker,https://downtoherbs.org,https://downtoherbs.org/,2026-07-15,"The business-owned site describes handmade skin and body-care formulation and does not claim that the business grows agricultural products.",Excluded from the farm entity set; retain as a possible future local-product maker.
txreview_20260715_028,Artisan Pastries and Breads,artisan pastries and breads,exclude,F,bakery,Atascosa,Jourdanton,78026,Diabetic-friendly baked goods,Cottage-food bakery,,https://shoptexasfarms.com/business-directory/,2026-07-15,"The current member profile identifies a cottage-food bakery that uses ingredients from area farms; it does not claim its own farm operation.",Excluded as a prepared-food business rather than a producing farm.
txreview_20260715_029,Cearbhall Home Slaughter Services LLC,cearbhall home slaughter services,exclude,F,meat_processor,Gonzales,Waelder,78959,Mobile custom slaughter and processing,State-inspected custom meat processor,,https://www.dshs.texas.gov/sites/default/files/meat/files/msa-establishments-by-grant-type-1-30-2026.pdf,2026-07-15,"The current Texas DSHS establishment list classifies Cearbhall as a mobile custom-exempt slaughter and processing establishment in Waelder.",Excluded as a processing service; no livestock-producing farm operation is claimed.
